Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Mulheres;18114;17848;24;;242;;;;;4117503
Sarandi;82847;81254;;892;701;;;;;4126256
Homens;40830;40000;;453;377;;;;;4126256
Mulheres;42017;41254;;439;324;;;;;4126256
Carbonífera  SC;550206;391984;58430;7015;83841;5497;3439;;;25
Homens;272653;191971;29278;3533;43361;2790;1720;;;25
Mulheres;277553;200013;29152;3482;40480;2707;1719;;;25
Araranguá;61310;35968;14558;;8191;2186;407;;;4201406
Homens;30138;17321;7247;;4232;1124;214;;;4201406
Mulheres;31172;18647;7311;;3959;1062;193;;;4201406
Balneário Arroio do Silva;9586;7666;1725;;195;;;;;4201950
Homens;4743;3779;860;;104;;;;;4201950
Mulheres;4843;3887;865;;91;;;;;4201950
Balneário Gaivota;8234;3654;1516;1193;1871;;;;;4202073
Homens;4092;1760;788;576;968;;;;;4202073
Mulheres;4142;1894;728;617;903;;;;;4202073
Cocal do Sul;15159;12235;461;;2198;265;;;;4204251
Homens;7523;6050;228;;1113;132;;;;4204251
Mulheres;7636;6185;233;;1085;133;;;;4204251
Criciúma;192308;176123;13507;;2678;;;;;4204608
Homens;94607;86289;6758;;1560;;;;;4204608
Mulheres;97701;89834;6749;;1118;;;;;4204608
Ermo;2050;619;;;1431;;;;;4205191
Homens;1066;316;;;750;;;;;4205191
Mulheres;984;303;;;681;;;;;4205191
Forquilhinha;22548;14930;1435;2061;3521;601;;;;4205456
Homens;11307;7416;726;1071;1765;329;;;;4205456
Mulheres;11241;7514;709;990;1756;272;;;;4205456
Içara;58833;41361;12552;;4920;;;;;4207007
Homens;29303;20495;6309;;2499;;;;;4207007
Mulheres;29530;20866;6243;;2421;;;;;4207007
Jacinto Machado;10609;5039;94;;5476;;;;;4208708
Homens;5262;2440;46;;2776;;;;;4208708
Mulheres;5347;2599;48;;2700;;;;;4208708
Lauro Muller;14367;10128;315;663;3261;;;;;4209607
Homens;7187;4982;164;341;1700;;;;;4209607
Mulheres;7180;5146;151;322;1561;;;;;4209607
Maracajá;6404;2975;1281;;2148;;;;;4210407
Homens;3248;1489;643;;1116;;;;;4210407
Mulheres;3156;1486;638;;1032;;;;;4210407
Meleiro;7000;3615;34;;3351;;;;;4210803
Homens;3458;1743;17;;1698;;;;;4210803
Mulheres;3542;1872;17;;1653;;;;;4210803
Morro da Fumaça;16126;10867;2408;588;2263;;;;;4211207
Homens;8078;5391;1213;305;1169;;;;;4211207
Mulheres;8048;5476;1195;283;1094;;;;;4211207
Morro Grande;2890;756;;;1954;;180;;;4211256
Homens;1513;391;;;1039;;83;;;4211256
Mulheres;1377;365;;;915;;97;;;4211256
Nova Veneza;13309;6961;443;1523;3601;551;230;;;4211603
Homens;6719;3506;208;764;1856;266;119;;;4211603
Mulheres;6590;3455;235;759;1745;285;111;;;4211603
Passo de Torres;6627;2718;3155;;754;;;;;4212254
Homens;3352;1358;1595;;399;;;;;4212254
Mulheres;3275;1360;1560;;355;;;;;4212254
Praia Grande;7267;4024;;273;2710;260;;;;4213807
Homens;3658;1973;;131;1418;136;;;;4213807
Mulheres;3609;2051;;142;1292;124;;;;4213807
Santa Rosa do Sul;8054;3251;;495;4115;;193;;;4215653
Homens;4050;1562;;245;2137;;106;;;4215653
Mulheres;4004;1689;;250;1978;;87;;;4215653
São João do Sul;7002;1572;;;5430;;;;;4216404
Homens;3530;755;;;2775;;;;;4216404
Mulheres;3472;817;;;2655;;;;;4216404
Siderópolis;12998;10022;29;;2494;;453;;;4217600
Homens;6480;4954;15;;1277;;234;;;4217600
Mulheres;6518;5068;14;;1217;;219;;;4217600
Sombrio;26613;18350;1288;;5719;1256;;;;4217709
Homens;13072;8803;656;;3001;612;;;;4217709
Mulheres;13541;9547;632;;2718;644;;;;4217709
Timbé do Sul;5308;968;877;;3463;;;;;4218103
Homens;2693;454;425;;1814;;;;;4218103
Mulheres;2615;514;452;;1649;;;;;4218103
Treviso;3527;1833;;;1694;;;;;4218350
Homens;1789;919;;;870;;;;;4218350
Mulheres;1738;914;;;824;;;;;4218350
Turvo;11854;6213;1483;219;3939;;;;;4218806
Homens;5850;2968;757;100;2025;;;;;4218806
Mulheres;6004;3245;726;119;1914;;;;;4218806
Urussanga;20223;10136;1269;;6464;378;1976;;;4219002
Homens;9935;4857;623;;3300;191;964;;;4219002
Mulheres;10288;5279;646;;3164;187;1012;;;4219002
Chapecó  SC;403494;304000;7312;5916;84585;1681;;;;4208
Homens;201257;148891;3743;2970;44328;1325;;;;4208
Mulheres;202237;155109;3569;2946;40257;356;;;;4208
Águas de Chapecó;6110;3080;156;;2874;;;;;4200507
Homens;3124;1518;78;;1528;;;;;4200507
Mulheres;2986;1562;78;;1346;;;;;4200507
Águas Frias;2424;981;;;1443;;;;;4200556
Homens;1279;504;;;775;;;;;4200556
Mulheres;1145;477;;;668;;;;;4200556
Arvoredo;2260;501;;;1759;;;;;4201653
Homens;1229;271;;;958;;;;;4201653
Mulheres;1031;230;;;801;;;;;4201653
Caxambu do Sul;4411;947;1208;;2256;;;;;4204103
Homens;2219;450;610;;1159;;;;;4204103
Mulheres;2192;497;598;;1097;;;;;4204103
Chapecó;183530;167316;25;772;14051;1366;;;;4204202
Homens;90626;81753;14;412;7285;1162;;;;4204202
Mulheres;92904;85563;11;360;6766;204;;;;4204202
Coronel Freitas;10213;5787;280;;4146;;;;;4204400
Homens;5189;2876;141;;2172;;;;;4204400
Mulheres;5024;2911;139;;1974;;;;;4204400
Cunhataí;1882;569;;;1313;;;;;4204756
Homens;1004;299;;;705;;;;;4204756
Mulheres;878;270;;;608;;;;;4204756
Faxinal dos Guedes;10661;7579;139;;2628;315;;;;4205308
Homens;5357;3767;72;;1355;163;;;;4205308
Mulheres;5304;3812;67;;1273;152;;;;4205308
Guatambú;4679;1746;3;;2930;;;;;4206652
Homens;2471;907;2;;1562;;;;;4206652
Mulheres;2208;839;1;;1368;;;;;4206652
Itá;6426;3823;150;84;2369;;;;;4208005
Homens;3218;1869;86;44;1219;;;;;4208005
Mulheres;3208;1954;64;40;1150;;;;;4208005
Marema;2203;760;;;1443;;;;;4210555
Homens;1135;382;;;753;;;;;4210555
Mulheres;1068;378;;;690;;;;;4210555
Nova Erechim;4275;2681;530;;1064;;;;;4211405
Homens;2205;1352;297;;556;;;;;4211405
Mulheres;2070;1329;233;;508;;;;;4211405
Nova Itaberaba;4267;915;615;;2737;;;;;4211454
Homens;2210;462;308;;1440;;;;;4211454
Mulheres;2057;453;307;;1297;;;;;4211454
Paial;1763;336;;;1427;;;;;4211876
Homens;939;167;;;772;;;;;4211876
Mulheres;824;169;;;655;;;;;4211876
Palmitos;16020;9333;403;135;6149;;;;;4212106
Homens;8018;4539;206;53;3220;;;;;4212106
Mulheres;8002;4794;197;82;2929;;;;;4212106
Pinhalzinho;16332;11961;1383;271;2717;;;;;4212908
Homens;8177;5871;705;136;1465;;;;;4212908
Mulheres;8155;6090;678;135;1252;;;;;4212908
Planalto Alegre;2654;1067;;;1587;;;;;4213153
Homens;1383;538;;;845;;;;;4213153
Mulheres;1271;529;;;742;;;;;4213153
Quilombo;10248;5746;;;4502;;;;;4214201
Homens;5168;2820;;;2348;;;;;4214201
Mulheres;5080;2926;;;2154;;;;;4214201
São Carlos;10291;6417;485;;3389;;;;;4216008
Homens;5171;3142;240;;1789;;;;;4216008
Mulheres;5120;3275;245;;1600;;;;;4216008
Saudades;9016;4189;459;475;3893;;;;;4217303
Homens;4618;2101;231;239;2047;;;;;4217303
Mulheres;4398;2088;228;236;1846;;;;;4217303
Seara;16936;11586;;;5350;;;;;4217501
Homens;8525;5694;;;2831;;;;;4217501
Mulheres;8411;5892;;;2519;;;;;4217501
União do Oeste;2910;1107;;;1803;;;;;4218855
Homens;1475;547;;;928;;;;;4218855
Mulheres;1435;560;;;875;;;;;4218855
Xanxerê;44128;34896;68;4179;4985;;;;;4219507
Homens;21581;16948;39;2086;2508;;;;;4219507
Mulheres;22547;17948;29;2093;2477;;;;;4219507
Xavantina;4142;1118;;;3024;;;;;4219606
Homens;2160;563;;;1597;;;;;4219606
Mulheres;1982;555;;;1427;;;;;4219606
Xaxim;25713;19559;1408;;4746;;;;;4219705
Homens;12776;9551;714;;2511;;;;;4219705
Mulheres;12937;10008;694;;2235;;;;;4219705
Florianópolis  SC;1012233;912173;15416;3595;76561;3414;910;;164;18
Homens;496184;444163;8335;1813;39611;1720;457;;85;18
Mulheres;516049;468010;7081;1782;36950;1694;453;;79;18
Águas Mornas;5548;2327;;;3221;;;;;4200606
Homens;2810;1173;;;1637;;;;;4200606
Mulheres;2738;1154;;;1584;;;;;4200606
Alfredo Wagner;9410;2868;;;6542;;;;;4200705
Homens;4784;1385;;;3399;;;;;4200705
Mulheres;4626;1483;;;3143;;;;;4200705
Angelina;5250;1123;;;4127;;;;;4200903
Homens;2765;541;;;2224;;;;;4200903
Mulheres;2485;582;;;1903;;;;;4200903
Anitápolis;3214;1315;;;1899;;;;;4201109
Homens;1675;649;;;1026;;;;;4201109
Mulheres;1539;666;;;873;;;;;4201109
Antônio Carlos;7458;2341;;;5117;;;;;4201208
Homens;3757;1144;;;2613;;;;;4201208
Mulheres;3701;1197;;;2504;;;;;4201208
Biguaçu;58206;51809;114;835;5448;;;;;4202305
Homens;28665;25431;53;423;2758;;;;;4202305
Mulheres;29541;26378;61;412;2690;;;;;4202305
Canelinha;10603;6655;71;;3877;;;;;4203709
Homens;5372;3342;40;;1990;;;;;4203709
Mulheres;5231;3313;31;;1887;;;;;4203709
Florianópolis;421240;404245;271;770;13717;1752;367;;118;4205407
Homens;203047;194431;136;378;6970;877;189;;66;4205407
Mulheres;218193;209814;135;392;6747;875;178;;52;4205407
Garopaba;18138;15320;;;2818;;;;;4205704
Homens;9127;7652;;;1475;;;;;4205704
Mulheres;9011;7668;;;1343;;;;;4205704
Governador Celso Ramos;12999;10262;;1990;747;;;;;4206009
Homens;6641;5242;;1012;387;;;;;4206009
Mulheres;6358;5020;;978;360;;;;;4206009
Leoberto Leal;3365;820;;;2545;;;;;4209805
Homens;1754;406;;;1348;;;;;4209805
Mulheres;1611;414;;;1197;;;;;4209805
Major Gercino;3279;1249;;;2030;;;;;4210209
Homens;1672;637;;;1035;;;;;4210209
Mulheres;1607;612;;;995;;;;;4210209
Nova Trento;12190;9129;;;3061;;;;;4211504
Homens;6181;4562;;;1619;;;;;4211504
Mulheres;6009;4567;;;1442;;;;;4211504
Palhoça;137334;132977;2334;;1977;;;;46;4211900
Homens;68436;66151;1234;;1032;;;;19;4211900
Mulheres;68898;66826;1100;;945;;;;27;4211900
Paulo Lopes;6692;4820;;;1872;;;;;4212304
Homens;3404;2423;;;981;;;;;4212304
Mulheres;3288;2397;;;891;;;;;4212304
Rancho Queimado;2748;1074;216;;1458;;;;;4214300
Homens;1398;534;113;;751;;;;;4214300
Mulheres;1350;540;103;;707;;;;;4214300
Santo Amaro da Imperatriz;19823;14970;;;3817;1036;;;;4215703
Homens;9984;7512;;;1954;518;;;;4215703
Mulheres;9839;7458;;;1863;518;;;;4215703
São Bonifácio;3008;685;;;2323;;;;;4215901
Homens;1551;349;;;1202;;;;;4215901
Mulheres;1457;336;;;1121;;;;;4215901
São João Batista;26260;23551;;;2709;;;;;4216305
Homens;13287;11908;;;1379;;;;;4216305
Mulheres;12973;11643;;;1330;;;;;4216305
São José;209804;196359;10953;;1323;626;543;;;4216602
Homens;101392;94707;5411;;681;325;268;;;4216602
Mulheres;108412;101652;5542;;642;301;275;;;4216602
São Pedro de Alcântara;4704;2272;1457;;975;;;;;4217253
Homens;2988;1124;1348;;516;;;;;4217253
Mulheres;1716;1148;109;;459;;;;;4217253
Tijucas;30960;26002;;;4958;;;;;4218004
Homens;15494;12860;;;2634;;;;;4218004
Mulheres;15466;13142;;;2324;;;;;4218004
Foz do Rio Itajaí  SC;532771;471054;39803;;16577;1396;2539;1402;;24
Homens;261463;230074;20142;;8510;739;1272;726;;24
Mulheres;271308;240980;19661;;8067;657;1267;676;;24
Balneário Camboriú;108089;108089;;;;;;;;4202008
Homens;51393;51393;;;;;;;;4202008
Mulheres;56696;56696;;;;;;;;4202008
Balneário Piçarras;17078;11471;4029;;1578;;;;;4212809
Homens;8521;5699;1996;;826;;;;;4212809
Mulheres;8557;5772;2033;;752;;;;;4212809
Bombinhas;14293;5279;9014;;;;;;;4202453
Homens;7194;2617;4577;;;;;;;4202453
Mulheres;7099;2662;4437;;;;;;;4202453
Camboriú;62361;55092;4139;;3130;;;;;4203204
Homens;31159;27461;2086;;1612;;;;;4203204
Mulheres;31202;27631;2053;;1518;;;;;4203204
Itajaí;183373;165320;8132;;6666;1396;1859;;;4208203
Homens;90111;80886;4144;;3409;739;933;;;4208203
Mulheres;93262;84434;3988;;3257;657;926;;;4208203
Itapema;45797;44659;;;1138;;;;;4208302
Homens;22391;21826;;;565;;;;;4208302
Mulheres;23406;22833;;;573;;;;;4208302
Navegantes;60556;49745;7657;;1072;;680;1402;;4211306
Homens;30158;24661;3887;;545;;339;726;;4211306
Mulheres;30398;25084;3770;;527;;341;676;;4211306
Penha;25141;16232;6832;;2077;;;;;4212502
Homens;12538;8011;3452;;1075;;;;;4212502
Mulheres;12603;8221;3380;;1002;;;;;4212502
Porto Belo;16083;15167;;;916;;;;;4213500
Homens;7998;7520;;;478;;;;;4213500
Mulheres;8085;7647;;;438;;;;;4213500
Lages  SC;350532;290841;917;;58649;;125;;;4207
Homens;173759;141907;467;;31315;;70;;;4207
Mulheres;176773;148934;450;;27334;;55;;;4207
Anita Garibaldi;8623;4551;;;4072;;;;;4201000
Homens;4340;2200;;;2140;;;;;4201000
Mulheres;4283;2351;;;1932;;;;;4201000
Bocaina do Sul;3290;967;;;2323;;;;;4202438
Homens;1700;485;;;1215;;;;;4202438
Mulheres;1590;482;;;1108;;;;;4202438
Bom Jardim da Serra;4395;2397;;;1998;;;;;4202503
Homens;2253;1164;;;1089;;;;;4202503
Mulheres;2142;1233;;;909;;;;;4202503
Bom Retiro;8942;6417;;;2525;;;;;4202602
Homens;4513;3192;;;1321;;;;;4202602
Mulheres;4429;3225;;;1204;;;;;4202602
Campo Belo do Sul;7483;4406;;;3077;;;;;4203402
Homens;3850;2206;;;1644;;;;;4203402
Mulheres;3633;2200;;;1433;;;;;4203402
Capão Alto;2753;962;;;1791;;;;;4203253
Homens;1431;481;;;950;;;;;4203253
Mulheres;1322;481;;;841;;;;;4203253
Cerro Negro;3581;764;;;2817;;;;;4204178
Homens;1873;377;;;1496;;;;;4204178
Mulheres;1708;387;;;1321;;;;;4204178
Correia Pinto;14785;12022;;;2763;;;;;4204558
Homens;7376;5967;;;1409;;;;;4204558
Mulheres;7409;6055;;;1354;;;;;4204558
Curitibanos;37748;34719;50;;2979;;;;;4204806
Homens;18521;16911;25;;1585;;;;;4204806
Mulheres;19227;17808;25;;1394;;;;;4204806
Frei Rogério;2474;706;;;1768;;;;;4205555
Homens;1288;354;;;934;;;;;4205555
Mulheres;1186;352;;;834;;;;;4205555
Lages;156727;153198;739;;2790;;;;;4209300
Homens;75952;74079;379;;1494;;;;;4209300
Mulheres;80775;79119;360;;1296;;;;;4209300
Otacílio Costa;16337;14891;;;1446;;;;;4211751
Homens;8262;7504;;;758;;;;;4211751
Mulheres;8075;7387;;;688;;;;;4211751
Painel;2353;945;;;1408;;;;;4211892
Homens;1232;461;;;771;;;;;4211892
Mulheres;1121;484;;;637;;;;;4211892
Palmeira;2373;925;;;1448;;;;;4212056
Homens;1221;459;;;762;;;;;4212056
Mulheres;1152;466;;;686;;;;;4212056
Ponte Alta;4894;3578;;;1316;;;;;4213302
Homens;2454;1774;;;680;;;;;4213302
Mulheres;2440;1804;;;636;;;;;4213302
Ponte Alta do Norte;3303;2879;128;;296;;;;;4213351
Homens;1644;1428;63;;153;;;;;4213351
Mulheres;1659;1451;65;;143;;;;;4213351
Rio Rufino;2436;688;;;1748;;;;;4215059
Homens;1245;350;;;895;;;;;4215059
Mulheres;1191;338;;;853;;;;;4215059
Santa Cecília;15757;13663;;;2094;;;;;4215505
Homens;7849;6780;;;1069;;;;;4215505
Mulheres;7908;6883;;;1025;;;;;4215505
São Cristovão do Sul;5012;3800;;;1212;;;;;4216057
Homens;2850;1870;;;980;;;;;4216057
Mulheres;2162;1930;;;232;;;;;4216057
São Joaquim;24812;17573;;;7114;;125;;;4216503
Homens;12434;8554;;;3810;;70;;;4216503
Mulheres;12378;9019;;;3304;;55;;;4216503
São José do Cerrito;9273;2492;;;6781;;;;;4216800
Homens;4801;1212;;;3589;;;;;4216800
Mulheres;4472;1280;;;3192;;;;;4216800
Urubici;10699;7066;;;3633;;;;;4218905
Homens;5396;3490;;;1906;;;;;4218905
Mulheres;5303;3576;;;1727;;;;;4218905
Urupema;2482;1232;;;1250;;;;;4218954
Homens;1274;609;;;665;;;;;4218954
Mulheres;1208;623;;;585;;;;;4218954
Norte/Nordeste Catarinense  SC;1094412;784817;165237;41273;95472;5969;1534;;110;20
Homens;546832;388337;83754;20856;49979;3052;801;;53;20
Mulheres;547580;396480;81483;20417;45493;2917;733;;57;20
Araquari;24810;13853;7605;1895;1340;;90;;27;4201307
Homens;12648;7039;3883;963;703;;47;;13;4201307
Mulheres;12162;6814;3722;932;637;;43;;14;4201307
Balneário Barra do Sul;8430;7812;196;27;395;;;;;4202057
Homens;4172;3870;94;16;192;;;;;4202057
Mulheres;4258;3942;102;11;203;;;;;4202057
Barra Velha;22386;12998;7868;454;1066;;;;;4202107
Homens;11103;6352;3938;243;570;;;;;4202107
Mulheres;11283;6646;3930;211;496;;;;;4202107
Campo Alegre;11748;6125;492;620;4511;;;;;4203303
Homens;5970;3032;258;319;2361;;;;;4203303
Mulheres;5778;3093;234;301;2150;;;;;4203303
Corupá;13852;6927;3742;;3183;;;;;4204509
Homens;7002;3397;1902;;1703;;;;;4204509
Mulheres;6850;3530;1840;;1480;;;;;4204509
Garuva;14761;8523;2928;;2961;349;;;;4205803
Homens;7540;4297;1523;;1539;181;;;;4205803
Mulheres;7221;4226;1405;;1422;168;;;;4205803
Guaramirim;35172;14010;14036;;7126;;;;;4206504
Homens;17840;7032;7119;;3689;;;;;4206504
Mulheres;17332;6978;6917;;3437;;;;;4206504
Itaiópolis;20301;10391;346;;9564;;;;;4208104
Homens;10409;5149;189;;5071;;;;;4208104
Mulheres;9892;5242;157;;4493;;;;;4208104
Itapoá;14763;12819;1353;;591;;;;;4208450
Homens;7447;6419;714;;314;;;;;4208450
Mulheres;7316;6400;639;;277;;;;;4208450
Jaraguá do Sul;143123;88169;43141;1490;10323;;;;;4208906
Homens;71801;43875;21895;741;5290;;;;;4208906
Mulheres;71322;44294;21246;749;5033;;;;;4208906
Joinville;515288;436192;25712;35946;12896;3098;1444;;;4209102
Homens;255756;215597;12975;18135;6707;1588;754;;;4209102
Mulheres;259532;220595;12737;17811;6189;1510;690;;;4209102
Mafra;52912;41266;52;;10312;1282;;;;4210100
Homens;26251;20100;28;;5469;654;;;;4210100
Mulheres;26661;21166;24;;4843;628;;;;4210100
Massaranduba;14674;3539;4067;;7068;;;;;4210605
Homens;7449;1747;2050;;3652;;;;;4210605
Mulheres;7225;1792;2017;;3416;;;;;4210605
Monte Castelo;8346;4849;;;3497;;;;;4211108
Homens;4283;2430;;;1853;;;;;4211108
Mulheres;4063;2419;;;1644;;;;;4211108
Papanduva;17928;9184;;;7504;1240;;;;4212205
Homens;9172;4547;;;3996;629;;;;4212205
Mulheres;8756;4637;;;3508;611;;;;4212205
Rio Negrinho;39846;33535;2498;315;3498;;;;;4215000
Homens;19977;16736;1260;161;1820;;;;;4215000
Mulheres;19869;16799;1238;154;1678;;;;;4215000
São Bento do Sul;74801;49339;21895;;3567;;;;;4215802
Homens;37239;24290;11083;;1866;;;;;4215802
Mulheres;37562;25049;10812;;1701;;;;;4215802
São Francisco do Sul;42520;21403;18087;;2947;;;;83;4216206
Homens;21182;10469;9116;;1557;;;;40;4216206
Mulheres;21338;10934;8971;;1390;;;;43;4216206
São João do Itaperiú;3435;884;515;526;1510;;;;;4216354
Homens;1790;456;279;278;777;;;;;4216354
Mulheres;1645;428;236;248;733;;;;;4216354
Schroeder;15316;2999;10704;;1613;;;;;4217402
Homens;7801;1503;5448;;850;;;;;4217402
Mulheres;7515;1496;5256;;763;;;;;4217402
Tubarão  SC;356721;267904;6012;6488;67339;2126;6852;;;26
Homens;176367;130952;2987;3260;34628;1076;3464;;;26
Mulheres;180354;136952;3025;3228;32711;1050;3388;;;26
Armazém;7753;4884;;;2869;;;;;4201505
Homens;3924;2412;;;1512;;;;;4201505
Mulheres;3829;2472;;;1357;;;;;4201505
Braço do Norte;29018;23383;;;5635;;;;;4202800
Homens;14533;11609;;;2924;;;;;4202800
Mulheres;14485;11774;;;2711;;;;;4202800
Capivari de Baixo;21674;19816;;;1281;;577;;;4203956
Homens;10499;9578;;;633;;288;;;4203956
Mulheres;11175;10238;;;648;;289;;;4203956
Grão Pará;6223;2942;;77;3204;;;;;4206108
Homens;3235;1468;;41;1726;;;;;4206108
Mulheres;2988;1474;;36;1478;;;;;4206108
Gravatal;10635;4443;;;5357;;835;;;4206207
Homens;5286;2160;;;2714;;412;;;4206207
Mulheres;5349;2283;;;2643;;423;;;4206207
Imaruí;11672;4005;;;7667;;;;;4207205
Homens;5865;1974;;;3891;;;;;4207205
Mulheres;5807;2031;;;3776;;;;;4207205
Imbituba;40170;38962;1208;;;;;;;4207304
Homens;19805;19199;606;;;;;;;4207304
Mulheres;20365;19763;602;;;;;;;4207304
Jaguaruna;17290;8687;;4511;3761;331;;;;4208807
Homens;8625;4279;;2292;1887;167;;;;4208807
